label,clients,rounds,local_epochs,poison_client,poison_fraction,poison_mode,poison_target,accuracy,precision,recall,f1-score
2clients_25pct_poison,2,5,1,0,0.25,target,0,0.9091568712813816,0.9207711201841535,0.9091568712813816,0.9076362496757973
3clients_25pct_poison,3,5,1,0,0.25,target,0,0.9073261667950392,0.9224529450136445,0.9073261667950392,0.9057054510349436
1client_40pct_poison,1,5,1,0,0.4,target,0,0.8555641137269347,0.8499795855145961,0.8555641137269347,0.817243955937586
2clients_40pct_poison,2,5,1,0,0.4,target,0,0.9018117276715448,0.8876177726662874,0.9018117276715448,0.8903042013235573
3clients_40pct_poison,3,5,1,0,0.4,target,0,0.9079512854001317,0.9173674882519371,0.9079512854001317,0.9049318262435772
