clients,rounds,accuracy,precision,recall,f1-score
3,1,0.8934730919929005,0.9131157793338452,0.8934730919929005,0.8916315296058964
3,5,0.916513177723452,0.9274431356480866,0.916513177723452,0.9134095055609122
3,10,0.9194155141042385,0.9312035951907501,0.9194155141042385,0.916801133420554
3,15,0.9227866894388445,0.9327424375521465,0.9227866894388445,0.9202966818320668
3,20,0.9256108859939944,0.9335956742916428,0.9256108859939944,0.9229208038853988
3,25,0.9273969391514015,0.9349304149292986,0.9273969391514015,0.9246480468640225
5,1,0.8864739961823114,0.9053893002732972,0.8864739961823114,0.8836042651914776
5,5,0.9114006005603742,0.9268826092167123,0.9114006005603742,0.9100193624741613
5,10,0.9156536396414499,0.9324837922196095,0.9156536396414499,0.9137772409624967
5,15,0.9210899389393077,0.9327719100416262,0.9210899389393077,0.9178966307986629
5,20,0.9218155230345043,0.9291594959672208,0.9218155230345043,0.9184541807591339
5,25,0.9230211089157541,0.9317088924923178,0.9230211089157541,0.9206401839722013
