clients,rounds,accuracy,precision,recall,f1-score
3,1,0.8935,0.9131,0.8935,0.8916
3,5,0.9165,0.9274,0.9165,0.9134
3,10,0.9194,0.9312,0.9194,0.9168
3,15,0.9228,0.9327,0.9228,0.9203
3,20,0.9256,0.9336,0.9256,0.9229
3,25,0.9274,0.9349,0.9274,0.9246
5,1,0.8865,0.9054,0.8865,0.8836
5,5,0.9114,0.9269,0.9114,0.9100
5,10,0.9157,0.9325,0.9157,0.9138
